"","Factor","data$Distance"
"1","(Intercept)",344.415791138851
"2","data$PlayerPlayer 1",-5.88475956086055
"3","data$PlayerPlayer 10",-12.8217119680097
"4","data$PlayerPlayer 11",-13.343057181991
"5","data$PlayerPlayer 12",-12.8669538356733
"6","data$PlayerPlayer 13",-13.5942360773657
"7","data$PlayerPlayer 14",-13.6471375186188
"8","data$PlayerPlayer 15",-14.8322309737001
"9","data$PlayerPlayer 16",-14.1650026889663
"10","data$PlayerPlayer 17",-14.6483183693609
"11","data$PlayerPlayer 18",-16.8174281159575
"12","data$PlayerPlayer 19",-15.2017710699812
"13","data$PlayerPlayer 2",-5.96862787342595
"14","data$PlayerPlayer 20",-14.8334777774285
"15","data$PlayerPlayer 21",-16.0469669284584
"16","data$PlayerPlayer 22",-17.3875199471475
"17","data$PlayerPlayer 23",-15.4776666408801
"18","data$PlayerPlayer 24",-15.892662442448
"19","data$PlayerPlayer 25",-15.8980743170511
"20","data$PlayerPlayer 26",-16.184071012292
"21","data$PlayerPlayer 27",-15.4622547619823
"22","data$PlayerPlayer 28",-16.5853432218888
"23","data$PlayerPlayer 29",-16.9680461518076
"24","data$PlayerPlayer 3",-6.75932233987002
"25","data$PlayerPlayer 30",-17.368205085469
"26","data$PlayerPlayer 31",-17.3257434913163
"27","data$PlayerPlayer 32",-17.0684902819254
"28","data$PlayerPlayer 33",-17.4956124311277
"29","data$PlayerPlayer 34",-18.7807751422286
"30","data$PlayerPlayer 35",-17.536809086175
"31","data$PlayerPlayer 36",-17.166949540385
"32","data$PlayerPlayer 37",-19.1538589136272
"33","data$PlayerPlayer 38",-19.1477366454567
"34","data$PlayerPlayer 39",-19.0404096815958
"35","data$PlayerPlayer 4",-9.57750180798259
"36","data$PlayerPlayer 40",-19.5964645912808
"37","data$PlayerPlayer 41",-21.9694525045536
"38","data$PlayerPlayer 42",-21.1294164846366
"39","data$PlayerPlayer 43",-21.3577140543973
"40","data$PlayerPlayer 44",-21.2507695400112
"41","data$PlayerPlayer 45",-21.6395161324435
"42","data$PlayerPlayer 46",-21.3235721810526
"43","data$PlayerPlayer 47",-23.6944398889982
"44","data$PlayerPlayer 48",-27.4012303858247
"45","data$PlayerPlayer 49",-28.7728151347781
"46","data$PlayerPlayer 5",-8.43553402790155
"47","data$PlayerPlayer 6",-9.85103454056266
"48","data$PlayerPlayer 7",-12.4415705115336
"49","data$PlayerPlayer 8",-12.0611560546421
"50","data$PlayerPlayer 9",-13.5533905956222
"51","data$HoleHole 1",-10.3365495935859
"52","data$HoleHole 10",-16.6323375329625
"53","data$HoleHole 100",-34.3229862755293
"54","data$HoleHole 101",-33.6503675630811
"55","data$HoleHole 102",-33.2466131975203
"56","data$HoleHole 103",-35.8546996065191
"57","data$HoleHole 104",-33.5280238605033
"58","data$HoleHole 105",-34.8640073727693
"59","data$HoleHole 106",-34.226871147661
"60","data$HoleHole 107",-35.46321385144
"61","data$HoleHole 108",-33.7989086438305
"62","data$HoleHole 109",-35.3041614405374
"63","data$HoleHole 11",-20.458247314928
"64","data$HoleHole 110",-33.7543084865622
"65","data$HoleHole 111",-33.4147228224873
"66","data$HoleHole 112",-36.1853386304565
"67","data$HoleHole 113",-35.3513594414738
"68","data$HoleHole 114",-34.3996852832911
"69","data$HoleHole 115",-33.1237922124834
"70","data$HoleHole 116",-35.9106855353232
"71","data$HoleHole 117",-38.1095629882394
"72","data$HoleHole 118",-35.3981724083435
"73","data$HoleHole 119",-38.7079920348634
"74","data$HoleHole 12",-16.3614103663882
"75","data$HoleHole 120",-36.4143854801884
"76","data$HoleHole 121",-38.7516450885946
"77","data$HoleHole 122",-34.7703471087075
"78","data$HoleHole 123",-35.4924468223122
"79","data$HoleHole 124",-34.9432627794926
"80","data$HoleHole 125",-39.7403818019768
"81","data$HoleHole 126",-38.655959180226
"82","data$HoleHole 127",-36.4257003961833
"83","data$HoleHole 128",-40.0285548376972
"84","data$HoleHole 129",-37.7756513396907
"85","data$HoleHole 13",-20.9737067219175
"86","data$HoleHole 130",-36.7951835095095
"87","data$HoleHole 131",-37.2671985359491
"88","data$HoleHole 132",-37.6925651838683
"89","data$HoleHole 133",-40.6210740935824
"90","data$HoleHole 134",-38.2169663458266
"91","data$HoleHole 135",-39.5429920324739
"92","data$HoleHole 136",-36.6671178051727
"93","data$HoleHole 137",-41.4171420010064
"94","data$HoleHole 138",-39.0057708409689
"95","data$HoleHole 139",-39.086925467064
"96","data$HoleHole 14",-16.9931351496978
"97","data$HoleHole 140",-36.7612975232826
"98","data$HoleHole 141",-37.7954036960585
"99","data$HoleHole 142",-40.7463650546022
"100","data$HoleHole 143",-38.1560104749028
"101","data$HoleHole 144",-40.2149914201473
"102","data$HoleHole 145",-39.7861359411291
"103","data$HoleHole 146",-39.3765503740421
"104","data$HoleHole 147",-38.2237668458227
"105","data$HoleHole 148",-41.5614118548568
"106","data$HoleHole 149",-42.3495984325832
"107","data$HoleHole 15",-19.060154731137
"108","data$HoleHole 150",-41.2164193301017
"109","data$HoleHole 151",-41.7724045844616
"110","data$HoleHole 152",-41.5067238245158
"111","data$HoleHole 153",-43.1610371674533
"112","data$HoleHole 154",-43.8605173602727
"113","data$HoleHole 155",-41.9340478237427
"114","data$HoleHole 156",-42.08992439394
"115","data$HoleHole 157",-41.5318618915061
"116","data$HoleHole 158",-42.239663564963
"117","data$HoleHole 159",-42.6330478801637
"118","data$HoleHole 16",-18.8959227359052
"119","data$HoleHole 160",-43.4461407464718
"120","data$HoleHole 161",-41.0265855433099
"121","data$HoleHole 162",-42.7024533820594
"122","data$HoleHole 163",-44.1828776312674
"123","data$HoleHole 164",-45.9113018542719
"124","data$HoleHole 165",-44.0694409419888
"125","data$HoleHole 166",-45.7932780784025
"126","data$HoleHole 167",-45.4252706323163
"127","data$HoleHole 168",-46.0410541366155
"128","data$HoleHole 169",-48.1096260093733
"129","data$HoleHole 17",-19.7680899397653
"130","data$HoleHole 170",-44.9514830482371
"131","data$HoleHole 171",-46.6937459390163
"132","data$HoleHole 172",-44.7233716847832
"133","data$HoleHole 173",-48.4549442905778
"134","data$HoleHole 174",-47.7841772311709
"135","data$HoleHole 175",-46.9013231418033
"136","data$HoleHole 176",-46.9840786527392
"137","data$HoleHole 177",-45.9794383827161
"138","data$HoleHole 178",-47.3934913261378
"139","data$HoleHole 179",-49.2300435805431
"140","data$HoleHole 18",-22.0161209076541
"141","data$HoleHole 180",-46.2997304350674
"142","data$HoleHole 181",-48.4066951546807
"143","data$HoleHole 182",-49.5063213175828
"144","data$HoleHole 183",-47.8571943875713
"145","data$HoleHole 184",-52.1143327841782
"146","data$HoleHole 185",-48.7863726245358
"147","data$HoleHole 186",-44.0582673541152
"148","data$HoleHole 187",-47.8238438373586
"149","data$HoleHole 188",-49.935316806919
"150","data$HoleHole 189",-52.0738627848303
"151","data$HoleHole 19",-18.9252294391683
"152","data$HoleHole 190",-49.3738236448081
"153","data$HoleHole 191",-50.8093430214348
"154","data$HoleHole 192",-52.0515553772513
"155","data$HoleHole 193",-49.9271907835022
"156","data$HoleHole 194",-53.6204521074419
"157","data$HoleHole 195",-52.0130173697738
"158","data$HoleHole 196",-51.5383266319498
"159","data$HoleHole 197",-54.7445720862108
"160","data$HoleHole 198",-57.5789293106815
"161","data$HoleHole 199",-61.4141985799921
"162","data$HoleHole 2",-13.5398014727502
"163","data$HoleHole 20",-18.3622569192158
"164","data$HoleHole 21",-21.9051682943758
"165","data$HoleHole 22",-21.7939600634113
"166","data$HoleHole 23",-21.9631867196519
"167","data$HoleHole 24",-23.5874458750228
"168","data$HoleHole 25",-23.1327299565004
"169","data$HoleHole 26",-23.942455923901
"170","data$HoleHole 27",-24.3011146990745
"171","data$HoleHole 28",-24.5901513241022
"172","data$HoleHole 29",-22.8749007219026
"173","data$HoleHole 3",-12.616266435254
"174","data$HoleHole 30",-23.3117513354108
"175","data$HoleHole 31",-25.3132340234578
"176","data$HoleHole 32",-25.7624546061733
"177","data$HoleHole 33",-22.7544660861437
"178","data$HoleHole 34",-22.6569795393712
"179","data$HoleHole 35",-24.3051408444306
"180","data$HoleHole 36",-25.7615330348209
"181","data$HoleHole 37",-25.1164576682709
"182","data$HoleHole 38",-24.8980707254144
"183","data$HoleHole 39",-24.6934623859055
"184","data$HoleHole 4",-12.3662007338727
"185","data$HoleHole 40",-23.964079615188
"186","data$HoleHole 41",-26.6050716181858
"187","data$HoleHole 42",-23.9331679573783
"188","data$HoleHole 43",-26.3126834319993
"189","data$HoleHole 44",-26.3338739165801
"190","data$HoleHole 45",-27.1305851914798
"191","data$HoleHole 46",-27.7942891639972
"192","data$HoleHole 47",-25.2440317270842
"193","data$HoleHole 48",-26.8739417471604
"194","data$HoleHole 49",-28.3165505554753
"195","data$HoleHole 5",-14.1310093358238
"196","data$HoleHole 50",-27.1108872324866
"197","data$HoleHole 51",-24.7847289391401
"198","data$HoleHole 52",-31.2827494462925
"199","data$HoleHole 53",-28.5165561963493
"200","data$HoleHole 54",-28.7410510001859
"201","data$HoleHole 55",-29.5211090319396
"202","data$HoleHole 56",-26.6912516489558
"203","data$HoleHole 57",-25.1841011871156
"204","data$HoleHole 58",-28.4077520425058
"205","data$HoleHole 59",-27.8450862850253
"206","data$HoleHole 6",-17.611957307626
"207","data$HoleHole 60",-29.0720783221144
"208","data$HoleHole 61",-30.3110824906779
"209","data$HoleHole 62",-27.9885081502687
"210","data$HoleHole 63",-29.6729017175316
"211","data$HoleHole 64",-32.0477803976783
"212","data$HoleHole 65",-29.8857144443084
"213","data$HoleHole 66",-29.4593466466939
"214","data$HoleHole 67",-30.6459849641253
"215","data$HoleHole 68",-28.3904710705995
"216","data$HoleHole 69",-29.7327099132586
"217","data$HoleHole 7",-12.6152168920078
"218","data$HoleHole 70",-30.1656118573856
"219","data$HoleHole 71",-26.4123586411091
"220","data$HoleHole 72",-30.1119431052148
"221","data$HoleHole 73",-30.4391528444291
"222","data$HoleHole 74",-29.8845154723992
"223","data$HoleHole 75",-29.8688659311792
"224","data$HoleHole 76",-30.4378218042065
"225","data$HoleHole 77",-31.5276647806312
"226","data$HoleHole 78",-32.2167574728489
"227","data$HoleHole 79",-32.5005902036829
"228","data$HoleHole 8",-14.2534421771323
"229","data$HoleHole 80",-32.0857920978392
"230","data$HoleHole 81",-29.221231181812
"231","data$HoleHole 82",-31.4681934881768
"232","data$HoleHole 83",-29.2543355657626
"233","data$HoleHole 84",-29.1063725959017
"234","data$HoleHole 85",-30.1012475180365
"235","data$HoleHole 86",-32.4510452971425
"236","data$HoleHole 87",-30.4016695062289
"237","data$HoleHole 88",-31.8022567138163
"238","data$HoleHole 89",-33.8442847394161
"239","data$HoleHole 9",-15.9763942318602
"240","data$HoleHole 90",-33.0883701010454
"241","data$HoleHole 91",-31.5731748829362
"242","data$HoleHole 92",-30.7231475174281
"243","data$HoleHole 93",-30.3239966843155
"244","data$HoleHole 94",-34.7160318981908
"245","data$HoleHole 95",-33.2519206636725
"246","data$HoleHole 96",-36.3338310692404
"247","data$HoleHole 97",-34.6608897922027
"248","data$HoleHole 98",-31.4755501295141
"249","data$HoleHole 99",-31.9406402544152
